Name,Type,Suit,Number,Upright Meaning,Reversed Meaning,Keywords
Ace of Pentacles,Minor Arcana,Pentacles,1,"New financial or career opportunity, manifestation","Lost opportunity, lack of planning, financial setbacks","Opportunity, Manifestation, Prosperity"
Two of Pentacles,Minor Arcana,Pentacles,2,"Balance, adaptability, time management, prioritization","Overwhelm, disorganization, reprioritization","Balance, Adaptability, Time Management"
Three of Pentacles,Minor Arcana,Pentacles,3,"Teamwork, collaboration, skill development, recognition","Lack of teamwork, disorganization, lack of recognition","Teamwork, Collaboration, Skill Development"
Four of Pentacles,Minor Arcana,Pentacles,4,"Control, stability, security, conserving resources","Greed, overcontrol, possessiveness","Control, Stability, Security"
Five of Pentacles,Minor Arcana,Pentacles,5,"Financial loss, poverty, insecurity, isolation","Recovery, improved finances, spiritual poverty","Loss, Insecurity, Isolation"
Six of Pentacles,Minor Arcana,Pentacles,6,"Generosity, sharing wealth, charity, balance","Inequality, selfishness, debt","Generosity, Charity, Balance"
Seven of Pentacles,Minor Arcana,Pentacles,7,"Long-term view, sustainable results, perseverance","Lack of long-term vision, limited success, doubt","Perseverance, Long-Term View, Sustainability"
Eight of Pentacles,Minor Arcana,Pentacles,8,"Apprenticeship, dedication, skill development","Lack of focus, perfectionism, misdirected effort","Dedication, Skill Development, Apprenticeship"
Nine of Pentacles,Minor Arcana,Pentacles,9,"Abundance, luxury, self-sufficiency, financial gain","Financial dependence, lack of confidence, overreliance","Abundance, Luxury, Self-Sufficiency"
Ten of Pentacles,Minor Arcana,Pentacles,10,"Wealth, financial security, family, long-term success","Financial failure, family conflict, instability","Wealth, Security, Family, Success"
Page of Pentacles,Minor Arcana,Pentacles,11,"Manifestation, financial opportunity, study, discipline","Lack of progress, procrastination, superficiality","Manifestation, Opportunity, Discipline"
Knight of Pentacles,Minor Arcana,Pentacles,12,"Efficiency, routine, conservatism, methodical","Laziness, work without passion, perfectionism","Efficiency, Routine, Conservatism"
Queen of Pentacles,Minor Arcana,Pentacles,13,"Practicality, creature comforts, financial security","Overemphasis on work, neglecting home, financial dependence","Practicality, Nurturing, Financial Security"
King of Pentacles,Minor Arcana,Pentacles,14,"Security, control, power, discipline, abundance","Greed, manipulation, materialism","Security, Control, Abundance"
Ace of Swords,Minor Arcana,Swords,1,"Breakthrough, clarity, sharp mind, new ideas","Confusion, brutality, chaos","Clarity, Breakthrough, New Ideas"
Two of Swords,Minor Arcana,Swords,2,"Indecision, choices, blocked emotions, stalemate","Indecision, confusion, information overload","Indecision, Choices, Stalemate"
Three of Swords,Minor Arcana,Swords,3,"Heartbreak, emotional pain, sorrow, grief","Recovery, forgiveness, moving on","Heartbreak, Sorrow, Grief"
Four of Swords,Minor Arcana,Swords,4,"Rest, relaxation, meditation, contemplation","Restlessness, burnout, lack of recovery","Rest, Meditation, Contemplation"
Five of Swords,Minor Arcana,Swords,5,"Conflict, tension, loss, betrayal","Resolution, reconciliation, making amends","Conflict, Tension, Betrayal"
Six of Swords,Minor Arcana,Swords,6,"Transition, rite of passage, moving on, travel","Stagnation, inability to move forward","Transition, Moving On, Travel"
Seven of Swords,Minor Arcana,Swords,7,"Betrayal, deception, getting away with something","Repentance, return, forgiveness","Betrayal, Deception, Strategy"
Eight of Swords,Minor Arcana,Swords,8,"Restriction, self-imprisonment, victim mentality","Release, freedom, empowerment","Restriction, Imprisonment, Victim Mentality"
Nine of Swords,Minor Arcana,Swords,9,"Anxiety, worry, fear, depression","Hope, recovery, inner healing","Anxiety, Worry, Fear"
Ten of Swords,Minor Arcana,Swords,10,"Betrayal, backstabbing, defeat, crisis","Recovery, regeneration, new beginnings","Betrayal, Defeat, Crisis"
Page of Swords,Minor Arcana,Swords,11,"Curiosity, restlessness, mental energy, communication","Deception, manipulation, all talk and no action","Curiosity, Communication, Mental Energy"
Knight of Swords,Minor Arcana,Swords,12,"Action-oriented, driven, fast-thinking, ambitious","Impulsiveness, rash decisions, unpredictability","Action, Ambition, Fast-Thinking"
Queen of Swords,Minor Arcana,Swords,13,"Independent, unbiased judgment, clear boundaries","Cold-heartedness, bitterness, overly critical","Independence, Judgment, Clarity"
King of Swords,Minor Arcana,Swords,14,"Intellectual, authority, truth, strategic thinking","Manipulative, abusive, uncompromising","Authority, Truth, Strategic Thinking"
Ace of Wands,Minor Arcana,Wands,1,"Inspiration, new opportunities, growth, potential","Delays, lack of motivation, weighed down","Inspiration, Opportunity, Growth"
Two of Wands,Minor Arcana,Wands,2,"Planning, making decisions, progress, discovery","Fear of unknown, lack of planning, blocked opportunities","Planning, Decisions, Progress"
Three of Wands,Minor Arcana,Wands,3,"Expansion, foresight, overseas opportunities, growth","Lack of foresight, unexpected delays","Expansion, Foresight, Growth"
Four of Wands,Minor Arcana,Wands,4,"Celebration, harmony, marriage, homecoming","Lack of harmony, conflict, delays","Celebration, Harmony, Homecoming"
Five of Wands,Minor Arcana,Wands,5,"Competition, disagreements, tension, diversity","Avoiding conflict, respecting differences, harmony","Competition, Tension, Diversity"
Six of Wands,Minor Arcana,Wands,6,"Victory, recognition, success, public acknowledgment","Failure, lack of recognition, fall from grace","Victory, Success, Recognition"
Seven of Wands,Minor Arcana,Wands,7,"Perseverance, defense, maintaining control, challenge","Giving up, overwhelmed, struggling against odds","Perseverance, Defense, Challenge"
Eight of Wands,Minor Arcana,Wands,8,"Fast action, movement, quick decisions, progress","Delays, frustration, resistance to change","Action, Movement, Progress"
Nine of Wands,Minor Arcana,Wands,9,"Resilience, courage, persistence, test of faith","Exhaustion, burnout, defensiveness","Resilience, Courage, Persistence"
Ten of Wands,Minor Arcana,Wands,10,"Burden, responsibility, hard work, stress","Overburdened, struggling, burnout","Burden, Responsibility, Stress"
Page of Wands,Minor Arcana,Wands,11,"Enthusiasm, exploration, discovery, free spirit","Lack of direction, distractions, procrastination","Enthusiasm, Exploration, Discovery"
Knight of Wands,Minor Arcana,Wands,12,"Energy, passion, inspired action, adventure","Impulsiveness, haste, scattered energy","Energy, Passion, Adventure"
Queen of Wands,Minor Arcana,Wands,13,"Confidence, courage, determination, joy","Jealousy, selfishness, insecurity","Confidence, Courage, Determination"
King of Wands,Minor Arcana,Wands,14,"Leadership, vision, entrepreneur, honor","Impatience, domineering, ruthless","Leadership, Vision, Entrepreneurship"
